sessionID,userID,kWhDelivered,Estimated_Revenue
2_39_79_378_2018-05-02 03:05:26.338352,,6.457,1.7459726
2_39_79_380_2018-05-02 03:12:16.779392,,10.205,2.7594318
2_39_95_27_2018-05-02 04:06:36.985133,,7.9,2.13616
2_39_139_567_2018-05-02 04:56:29.225745,,13.828,3.7390912
2_39_123_23_2018-05-02 13:25:55.840259,,4.053,1.0959312
2_39_79_380_2018-05-02 13:57:22.134202,,3.216,0.8696064
2_39_95_27_2018-05-02 14:21:45.872488,,11.507,3.1114926
2_39_127_19_2018-05-02 14:36:14.984514,,13.985,3.7815437
2_39_139_28_2018-05-02 14:36:28.422075,,10.541,2.8502865
2_39_78_365_2018-05-02 14:46:19.034374,,9.289,2.5117455
2_39_79_376_2018-05-02 14:59:41.548555,,7.312,1.9771646
2_39_79_383_2018-05-02 15:00:55.427139,,2.713,0.7335952
2_39_91_437_2018-05-02 15:14:05.621573,,11.865,3.2082958
2_39_123_23_2018-05-02 15:15:17.269387,,11.489,3.1066256
2_39_79_381_2018-05-02 15:15:59.869187,,13.91,3.7612638
2_39_90_26_2018-05-02 15:17:09.660907,,19.163,5.181675
2_39_138_29_2018-05-02 15:17:30.766631,,3.187,0.8617648
2_39_78_366_2018-05-02 15:20:55.367243,,6.473,1.7502991
2_39_79_382_2018-05-02 15:25:54.750057,,15.288,4.133875
2_39_79_380_2018-05-02 15:28:35.539971,,4.36,1.178944
2_39_131_30_2018-05-02 15:30:34.740890,,5.888,1.5921152
2_39_79_377_2018-05-02 15:32:25.352564,,6.936,1.8754942
2_39_128_18_2018-05-02 15:41:47.909789,,4.016,1.0859263
2_39_88_24_2018-05-02 15:48:31.812114,,6.2,1.6764798
2_39_92_442_2018-05-02 15:48:55.184222,,4.563,1.2338352
2_39_90_440_2018-05-02 15:53:26.925427,,18.201,4.9215503
2_39_78_361_2018-05-02 15:54:41.408306,,3.647,0.9861488
2_39_78_367_2018-05-02 16:06:53.477979,,11.027,2.981701
2_39_95_444_2018-05-02 16:09:21.728879,,4.426,1.1967903
2_39_88_438_2018-05-02 16:15:35.226980,,7.198,1.9463391
2_39_78_362_2018-05-02 16:16:48.052815,,9.641,2.6069262
2_39_78_364_2018-05-02 16:19:37.195910,,4.995,1.3506479
2_39_78_363_2018-05-02 16:37:21.798722,,9.043,2.4452271
2_39_91_441_2018-05-02 16:45:06.883064,,4.994,1.3503776
2_39_79_378_2018-05-02 16:57:50.907181,,16.008,4.3285627
2_39_89_439_2018-05-02 17:08:46.954736,,13.422,3.6293087
2_39_123_23_2018-05-02 18:23:24.918058,,2.031,0.54918236
2_39_139_28_2018-05-02 18:32:27.296996,,3.145,0.85040796
2_39_79_377_2018-05-02 19:40:54.959464,,9.664,2.6131454
2_39_95_444_2018-05-02 19:56:24.993232,,3.86,1.043744
2_39_138_566_2018-05-02 20:15:36.878694,,11.344,3.0674174
2_39_92_442_2018-05-02 20:37:58.184910,,4.801,1.2981904
2_39_124_22_2018-05-02 22:28:40.678887,,1.58,0.427232
2_39_89_439_2018-05-02 22:34:47.279171,,30.8,8.32832
2_39_78_365_2018-05-02 23:13:01.837009,,7.711,2.0850544
2_39_79_382_2018-05-02 23:19:17.526939,,6.254,1.6910815
2_39_91_437_2018-05-02 23:20:15.006209,,4.448,1.2027391
2_39_79_377_2018-05-02 23:29:04.827008,,4.157,1.1240528
2_39_79_383_2018-05-03 00:17:01.198872,,39.911,10.791934
2_39_79_380_2018-05-03 01:01:31.942000,,15.958,4.315043
2_39_139_28_2018-05-03 01:06:47.171772,,4.822,1.3038688
2_39_127_19_2018-05-03 01:33:43.427320,,9.454,2.5563617
2_39_126_20_2018-05-03 01:34:01.396525,,3.671,0.99263835
2_39_91_437_2018-05-03 01:44:52.142816,,9.251,2.5014703
2_39_138_29_2018-05-03 01:54:19.215964,,9.259,2.5036335
2_39_129_17_2018-05-03 02:18:21.185332,,13.854,3.7461214
2_39_130_31_2018-05-03 02:32:40.995608,,2.258,0.61056316
2_39_79_379_2018-05-03 02:44:39.342768,,12.398,3.352419
2_39_131_30_2018-05-03 03:52:20.938980,,8.869,2.3981776
2_39_78_365_2018-05-03 04:04:07.321814,,10.684,2.8889534
2_39_79_378_2018-05-03 04:23:03.551023,,6.687,1.8081647
2_39_78_367_2018-05-03 11:35:53.591484,,0.756,0.20442238
2_39_79_377_2018-05-03 11:47:45.094628,,11.656,3.1517823
2_39_95_27_2018-05-03 13:09:54.857059,,13.503,3.651211
2_39_79_380_2018-05-03 13:45:24.399914,,7.508,2.030163
2_39_79_382_2018-05-03 14:18:02.307799,,17.011,4.599774
2_39_78_366_2018-05-03 14:23:40.715711,,7.212,1.9501247
2_39_139_28_2018-05-03 14:31:59.835924,,13.216,3.573606
2_39_78_365_2018-05-03 14:54:02.394471,,8.884,2.4022334
2_39_79_383_2018-05-03 14:57:22.384156,,13.173,3.561979
2_39_91_437_2018-05-03 15:06:32.615503,,4.657,1.2592528
2_39_78_361_2018-05-03 15:09:23.679600,,3.469,0.9380176
2_39_90_26_2018-05-03 15:11:48.734831,,9.475,2.56204
2_39_92_442_2018-05-03 15:13:34.706464,,11.46,3.098784
2_39_79_376_2018-05-03 15:14:10.412694,,5.822,1.5742687
2_39_91_441_2018-05-03 15:19:40.367418,,7.489,2.0250254
2_39_78_360_2018-05-03 15:20:39.084788,,7.212,1.9501247
2_39_78_363_2018-05-03 15:21:18.404640,,4.946,1.3373984
2_39_89_25_2018-05-03 15:22:22.279505,,5.938,1.6056352
2_39_78_367_2018-05-03 15:23:20.341472,,3.289,0.8893456
2_39_78_364_2018-05-03 15:27:21.166578,,2.638,0.7133152
